id,task_id,start_time,end_time,away_time,user_id,date,task_sequence,task_data
81,13,2021-07-08 17:37:00.564000,2021-07-08 17:37:53.522000,0,16,2021-07-08 17:37:54.569053,4,"[""0"", ""1"", ""2""]"
83,22,2021-07-08 17:48:14.086000,2021-07-08 17:50:01.254000,0,17,2021-07-08 17:50:02.328899,0,"""none"""
84,14,2021-07-08 17:50:27.963000,2021-07-08 17:50:55.572000,0,17,2021-07-08 17:50:56.487508,1,"[""0"", ""1"", ""2""]"
85,2,2021-07-08 17:51:31.955000,2021-07-08 17:52:19.667000,0,17,2021-07-08 17:52:20.702258,2,"[""147.65625"", ""758.3705444335938"", ""1750.78125""]"
86,10,2021-07-08 17:52:45.059000,2021-07-08 17:53:16.643000,0,17,2021-07-08 17:53:17.555102,3,"[""2471.986572265625"", ""1893.4151611328125""]"
87,6,2021-07-08 17:54:02.002000,2021-07-08 17:55:19.738000,0,17,2021-07-08 17:55:20.812208,4,"[""173.77232360839844"", ""332.4776916503906"", ""730.2455444335938"", ""1049.6651611328125"", ""1652.34375"", ""2009.9329833984375"", ""2032.03125"", ""2269.084716796875""]"
89,23,2021-07-22 09:18:25.873000,2021-07-22 09:19:16.199000,0,18,2021-07-22 09:19:15.542665,0,null
90,3,2021-07-22 09:20:37.008000,2021-07-22 09:22:08.844000,0,18,2021-07-22 09:22:08.086332,1,"[""0-1"", ""0-6"", ""1-3"", ""1-6"", ""2-1"", ""2-5"", ""2-7""]"
92,7,2021-07-22 09:24:09.224000,2021-07-22 09:25:10.319000,0,18,2021-07-22 09:25:09.554529,3,"[""0-1"", ""0-3"", ""0-6"", ""1-1"", ""1-3"", ""1-7"", ""2-3""]"
93,15,2021-07-22 09:25:28.681000,2021-07-22 09:26:23.674000,0,18,2021-07-22 09:26:22.824481,4,"[""0"", ""2"", ""4""]"
94,11,2021-07-22 09:26:47.506000,2021-07-22 09:27:44.116000,0,18,2021-07-22 09:27:43.268566,5,"[""2-6"", ""2-0""]"
95,24,2021-07-27 15:31:14.229000,2021-07-27 15:31:31.859000,0,19,2021-07-27 15:31:31.167821,0,null
96,8,2021-07-27 15:32:59.924000,2021-07-27 15:34:18.747000,0,19,2021-07-27 15:34:18.114606,1,"[""0-7"", ""1-7"", ""2-2""]"
97,16,2021-07-27 15:34:49.238000,2021-07-27 15:35:18.995000,0,19,2021-07-27 15:35:18.288647,2,"[""0"", ""1"", ""3""]"
98,12,2021-07-27 15:35:54.525000,2021-07-27 15:36:24.838000,0,19,2021-07-27 15:36:24.249726,3,"[""2-6"", ""2-0""]"
100,4,2021-07-27 15:38:24.309000,2021-07-27 15:38:58.207000,0,19,2021-07-27 15:38:57.508950,5,"[""0-3"", ""0-6"", ""1-3"", ""1-6"", ""2-1""]"
101,22,2021-07-30 14:22:32.248000,2021-07-30 14:23:14.618000,0,20,2021-07-30 14:23:14.407619,0,"""none"""
102,10,2021-07-30 14:23:49.714000,2021-07-30 14:24:32.454000,0,20,2021-07-30 14:24:32.245871,1,"[""2488.05810546875"", ""1877.34375""]"
103,14,2021-07-30 14:24:47.475000,2021-07-30 14:25:35.695000,0,20,2021-07-30 14:25:35.483247,2,"[""0"", ""1"", ""3""]"
105,2,2021-07-30 14:28:12.142000,2021-07-30 14:29:28.131000,0,20,2021-07-30 14:29:27.929960,4,"[""694.0848388671875"", ""1553.90625"", ""63.28125""]"
106,6,2021-07-30 14:30:18.147000,2021-07-30 14:31:36.363000,0,20,2021-07-30 14:31:36.146477,5,"[""89.39732360839844"", ""438.9508972167969"", ""669.9776611328125"", ""1021.5401611328125"", ""1276.674072265625"", ""1557.924072265625"", ""1692.5223388671875"", ""2007.924072265625"", ""2327.34375""]"
107,23,2021-07-30 15:36:28.526000,2021-07-30 15:37:31.825000,0,21,2021-07-30 15:37:31.539472,0,null
109,7,2021-07-30 15:40:41.091000,2021-07-30 15:42:28.169000,0,21,2021-07-30 15:42:27.881146,2,"[""0-1"", ""0-5"", ""0-6"", ""1-1"", ""1-3"", ""1-5"", ""1-7"", ""2-1"", ""2-4""]"
110,3,2021-07-30 15:43:12.120000,2021-07-30 15:44:06.998000,0,21,2021-07-30 15:44:06.709435,3,"[""0-1"", ""0-3"", ""0-5"", ""1-3"", ""1-6"", ""2-1""]"
111,11,2021-07-30 15:44:23.770000,2021-07-30 15:45:07.585000,0,21,2021-07-30 15:45:07.270472,4,"[""2-5"", ""2-0""]"
112,15,2021-07-30 15:45:32.988000,2021-07-30 15:46:19.045000,0,21,2021-07-30 15:46:18.758140,5,"[""0"", ""1"", ""4""]"
